# formatted substrate network ../Data/abilene/abilene.xml
# Nodes: id cpu gpu
ATLAM5 25 0
ATLAng 20 0
CHINng 0 0
DNVRng 5 5
HSTNng 0 0
IPLSng 10 0
KSCYng 0 0
LOSAng 10 0
NYCMng 0 0
SNVAng 15 0
STTLng 10 0
WASHng 5 5

# DIRECTED Links: src_id sink_id cap delay
ATLAng ATLAM5 50 0.86
ATLAM5 ATLAng 50 0.86
HSTNng ATLAng 50 7.01
ATLAng HSTNng 50 7.01
IPLSng ATLAng 50 3.83
ATLAng IPLSng 50 3.83
WASHng ATLAng 50 5.84
ATLAng WASHng 50 5.84
IPLSng CHINng 50 1.68
CHINng IPLSng 50 1.68
NYCMng CHINng 50 7.44
CHINng NYCMng 50 7.44
KSCYng DNVRng 50 4.83
DNVRng KSCYng 50 4.83
SNVAng DNVRng 50 9.83
DNVRng SNVAng 50 9.83
STTLng DNVRng 50 10.2
DNVRng STTLng 50 10.2
KSCYng HSTNng 50 6.67
HSTNng KSCYng 50 6.67
LOSAng HSTNng 50 14.24
HSTNng LOSAng 50 14.24
KSCYng IPLSng 50 5.85
IPLSng KSCYng 50 5.85
SNVAng LOSAng 50 3.27
LOSAng SNVAng 50 3.27
WASHng NYCMng 50 2.18
NYCMng WASHng 50 2.18
STTLng SNVAng 50 7.38
SNVAng STTLng 50 7.38
